approach,model,f1_score,auc_score
OHE_DI_FI,LR,0.7285714285714285,0.85
OHE_DI_FI,CF,1.0,0.99
CDT_DI_OHE,SVM,0.8285714285714285,0.87
CDT_DI_OHE,CF,0.6785714285714286,0.68
OHE_DI,RF,0.8357142857142857,0.93
OHE_DI,CF,1.0,0.99
CDT_DI_FI_OHE,SVM,0.8214285714285714,0.91
CDT_DI_FI_OHE,CF,0.7214285714285714,0.72
CDT_DI,RF,0.7714285714285716,0.85
CDT_DI,CF,0.7214285714285713,0.72
CDT_DI_FI,RF,0.7357142857142857,0.81
CDT_DI_FI,CF,0.5857142857142857,0.59
OHE_DI_FI_IS_LIVE,RF,0.7571428571428572,0.82
OHE_DI_FI_IS_LIVE,CF,0.8428571428571429,0.83
CDT_DI_OHE_IS_LIVE,RF,0.7000000000000001,0.75
CDT_DI_OHE_IS_LIVE,CF,0.7714285714285714,0.73
OHE_DI_IS_LIVE,RF,0.7571428571428572,0.78
OHE_DI_IS_LIVE,CF,0.8,0.77
CDT_DI_FI_OHE_IS_LIVE,SVM,0.7357142857142857,0.79
CDT_DI_FI_OHE_IS_LIVE,CF,0.6928571428571428,0.62
CDT_DI_IS_LIVE,RF,0.7428571428571429,0.81
CDT_DI_IS_LIVE,CF,0.6928571428571428,0.66
CDT_DI_FI_IS_LIVE,RF,0.7642857142857142,0.76
CDT_DI_FI_IS_LIVE,CF,0.6428571428571429,0.61
OHE_DI_FI_LIVE_MONTH,RF,0.6714285714285714,0.65
OHE_DI_FI_LIVE_MONTH,CF,0.5714285714285714,0.53
CDT_DI_OHE_LIVE_MONTH,RF,0.6571428571428571,0.67
CDT_DI_OHE_LIVE_MONTH,CF,0.5142857142857143,0.46
OHE_DI_LIVE_MONTH,RF,0.6428571428571429,0.58
OHE_DI_LIVE_MONTH,CF,0.5428571428571429,0.5
CDT_DI_FI_OHE_LIVE_MONTH,SVM,0.5999999999999999,0.48
CDT_DI_FI_OHE_LIVE_MONTH,CF,0.6428571428571428,0.62
CDT_DI_LIVE_MONTH,LR,0.6428571428571428,0.57
CDT_DI_LIVE_MONTH,CF,0.5428571428571429,0.49
CDT_DI_FI_LIVE_MONTH,SVM,0.7285714285714286,0.59
CDT_DI_FI_LIVE_MONTH,CF,0.6285714285714284,0.58
